Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-21,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.61,34.61,0.00,0.00,500280888,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-14,USD,Marketplace,6904.59,422.61,-822.82,0.00,-19.80,-525.80,-50.42,0.00,50.42,0.00,-137.88,0.00,5820.90,6378.79,0.00,498487017,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-14,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.56,49.56,0.00,0.00,498487017,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-07,USD,Marketplace,9907.63,616.05,-1187.83,0.00,-24.75,-610.67,-110.17,0.00,110.17,0.00,-141.79,0.00,8558.64,9296.96,0.00,496701524,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-07-07,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.36,29.36,0.00,0.00,496701524,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-30,USD,Marketplace,5962.43,382.48,-734.15,0.00,0.00,-189.55,-128.39,0.00,128.39,0.00,-49.14,0.00,5372.07,5772.88,0.00,494948296,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.19,18.19,0.00,0.00,494948296,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-23,USD,Marketplace,3638.01,233.21,-439.74,0.00,0.00,-117.84,-29.47,0.00,29.47,0.00,-29.69,0.00,3283.95,3520.17,0.00,493181459,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.78,12.78,0.00,0.00,493181459,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-16,USD,Marketplace,2556.62,159.83,-304.79,0.00,0.00,-144.16,-30.28,0.00,30.28,0.00,-18.92,0.00,2248.58,2412.46,0.00,491422249,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-09,USD,Marketplace,2730.35,167.88,-316.74,0.00,0.00,-196.23,-20.27,0.00,20.27,0.00,0.00,0.00,2385.26,2534.12,0.00,489661299,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-09,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.63,12.63,0.00,0.00,489661299,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-02,USD,Marketplace,2782.23,180.90,-353.38,0.00,0.00,-51.03,-22.18,0.00,22.18,0.00,-26.00,0.00,2532.72,2731.20,0.00,487906788,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-06-02,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.66,19.66,0.00,0.00,487906788,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-05-26,USD,Marketplace,3931.44,253.11,-488.44,0.00,0.00,-111.14,-45.89,0.00,45.89,0.00,-49.16,0.00,3535.81,3827.49,0.00,486137227,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-05-26,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.36,7.36,0.00,0.00,486137227,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-05-19,USD,Marketplace,1944.46,126.95,-252.15,0.00,0.00,-28.76,-28.29,0.00,28.29,0.00,-7.36,0.00,1783.14,1915.70,0.00,484358789,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-05-19,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,8.20,0.00,0.00,484358789,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-05-12,USD,Marketplace,1640.01,107.41,-211.33,0.00,0.00,-19.16,-32.40,0.00,32.40,0.00,-27.82,0.00,1489.11,1620.85,0.00,482610728,PAID
5579,McDonald's,659406,McDonald's (4592-OCEAN CITY),4592,2025-05-12,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,8.12,0.00,0.00,482610728,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-09-08,USD,Marketplace,7252.20,430.57,-872.49,0.00,-54.45,-753.08,-78.43,0.00,78.43,0.00,-64.11,0.00,5938.64,6498.93,0.00,512659586,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-09-08,USD,Storefront,32.73,2.17,0.00,-2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.56,32.73,0.00,512659586,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-09-08,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.72,41.72,0.00,0.00,512659586,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-09-01,USD,Marketplace,8473.84,489.92,-987.39,0.00,-51.48,-1078.42,-74.77,0.00,74.77,0.00,-84.34,0.00,6762.13,7395.42,0.00,510899567,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-09-01,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.23,29.23,0.00,0.00,510899567,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-25,USD,Marketplace,5779.83,330.33,-665.91,0.00,-29.70,-793.30,-53.51,-6.54,53.51,6.54,-157.14,0.00,4464.11,4986.53,0.00,509132878,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-25,USD,Storefront,32.84,2.18,0.00,-1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.24,32.84,0.00,509132878,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-25,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.94,26.94,0.00,0.00,509132878,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-18,USD,Marketplace,5419.16,305.76,-613.37,0.00,-112.96,-802.76,0.00,-8.63,0.00,8.63,-54.80,0.00,4141.03,4616.40,0.00,507355857,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-18,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.22,30.22,0.00,0.00,507355857,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-11,USD,Marketplace,6047.47,357.80,-714.54,0.00,-221.66,-646.20,-45.25,0.00,45.25,0.00,-40.03,0.00,4782.84,5401.27,0.00,505608132,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-11,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.54,30.54,0.00,0.00,505608132,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-04,USD,Marketplace,6103.96,357.84,-718.48,0.00,-188.41,-703.74,-57.27,0.00,174.40,0.00,-68.66,0.00,4899.64,5400.22,0.00,503841137,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-08-04,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.03,31.03,0.00,0.00,503841137,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-28,USD,Marketplace,6106.48,350.60,-706.68,0.00,-95.04,-814.41,-58.18,0.00,58.18,0.00,-77.83,0.00,4763.12,5292.07,0.00,502066230,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-28,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.35,29.35,0.00,0.00,502066230,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-21,USD,Marketplace,5951.78,340.13,-685.53,0.00,-192.06,-817.16,-37.95,0.00,37.95,0.00,-55.77,0.00,4541.39,5134.62,0.00,500286031,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-21,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.61,29.61,0.00,0.00,500286031,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-14,USD,Marketplace,5939.29,334.22,-675.66,0.00,-130.68,-894.45,-39.44,0.00,39.44,0.00,-72.29,0.00,4500.43,5044.84,0.00,498491025,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-14,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.20,29.20,0.00,0.00,498491025,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-07,USD,Marketplace,5768.47,337.51,-682.14,0.00,-19.80,-674.31,-99.05,0.00,99.05,0.00,-37.43,0.00,4692.30,5094.16,0.00,496703875,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-07-07,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.69,31.69,0.00,0.00,496703875,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-30,USD,Marketplace,6424.60,407.34,-823.22,0.00,0.00,-276.02,-138.39,0.00,138.39,0.00,-65.84,0.00,5666.86,6148.58,0.00,494948045,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.35,27.35,0.00,0.00,494948045,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-23,USD,Marketplace,5469.54,345.45,-697.31,0.00,0.00,-254.45,-62.64,0.00,62.64,0.00,-35.96,0.00,4827.27,5215.09,0.00,493185055,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.09,31.09,0.00,0.00,493185055,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-16,USD,Marketplace,6217.54,381.97,-767.95,0.00,0.00,-452.24,-25.90,0.00,25.90,0.00,-102.82,0.00,5276.50,5765.30,0.00,491417852,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-16,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.75,28.75,0.00,0.00,491417852,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-09,USD,Marketplace,5749.51,365.08,-733.33,0.00,0.00,-239.50,-48.96,0.00,48.96,0.00,-48.89,0.00,5092.87,5510.01,0.00,489661804,PAID
5579,McDonald's,946236,McDonald's (12008-CROSS KEYS),12008,2025-06-09,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.32,31.32,0.00,0.00,489661804,PAID
