Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (4592-OCEAN CITY),659406,5579,4592,412.17,24,24,17.17,47.87,50.33,169.57,0.00,0.00,USD
Day of 2024-08-27,2024-08-27,2024-08-27,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1454.36,65,65,22.37,174.09,150.99,667.66,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (12008-CROSS KEYS),946236,5579,12008,396.09,20,20,19.80,49.37,14.38,51.54,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1139.24,56,55,20.34,128.83,129.10,510.59,3.00,29.54,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (18170-NO WOODBURY),946241,5579,18170,1101.55,46,46,23.95,132.68,79.09,311.08,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (18576-WINSLOW),946252,5579,18576,900.32,49,49,18.37,111.74,94.07,348.71,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,"McDonald's (21452 - RT 545, BROWNS MILLS)",1544237,5579,21452,979.27,44,44,22.26,110.49,57.52,181.19,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (22137 - WRIGHTSTOWN),1544219,5579,22137,247.51,13,13,19.04,28.19,28.76,97.15,3.00,27.14,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (2401-TURNERSVILLE),946258,5579,2401,444.30,22,22,20.20,53.35,36.55,130.36,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (4592-OCEAN CITY),659406,5579,4592,452.38,18,18,25.13,54.31,37.15,167.47,0.00,0.00,USD
Day of 2024-08-26,2024-08-26,2024-08-26,McDonald's (4884-WILLIAMSTOWN),946269,5579,4884,1341.82,62,62,21.64,165.63,72.50,275.74,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (12008-CROSS KEYS),946236,5579,12008,934.99,43,43,21.74,110.97,65.31,217.15,0.00,0.00,USD
Day of 2024-08-25,2024-08-25,2024-08-25,McDonald's (1447-LINDNWLD-W HORSE),657157,5579,1447,1741.64,84,84,20.73,200.62,209.60,866.79,0.00,0.00,USD
