Timestamp local time,Payout date,Business ID,Business name,Store ID,Store name,Merchant store ID,Transaction type,Delivery UUID,DoorDash transaction ID,DoorDash order ID,Merchant delivery ID,POS order ID,Channel,Description,Error charges,Adjustments
2024-08-31 11:41:12.979267,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,b3fc8c59-aae4-3001-8325-89fafdddcbd8,10876630310,FDDDCBD8,be979dde-10ee-4294-9b88-d35fc06f5d8a,be979dde-10ee-4294-9b88-d35fc06f5d8a,Marketplace,"1 Coke® missing
1 Premium Roast Coffee missing",-4.46,NULL
2024-08-31 10:19:44.037172,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,c896b011-0a32-3001-8aeb-70fb3a27fbb2,10876215211,3A27FBB2,bbcb7f6a-c9f5-4fe1-959e-e5ba33993ae9,bbcb7f6a-c9f5-4fe1-959e-e5ba33993ae9,Marketplace,1 Bacon Egg Cheese Bagel Meal missing,-14.75,NULL
2024-08-31 01:23:15.111381,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,f207d899-da1f-3001-a42b-47048e784e7e,10875001693,8E784E7E,3b9da5d2-1426-41aa-a9ac-4591b6711ef5,3b9da5d2-1426-41aa-a9ac-4591b6711ef5,Marketplace,"1 Double Filet-O-Fish® incorrect
1 Double Filet-O-Fish® Meal incorrect",-11.51,NULL
2024-08-30 23:30:29.921022,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,17073f12-93f8-3001-b5d0-b0889fad0e04,10874259918,9FAD0E04,ad274af1-2ec6-4a2b-a8a9-785ba04f974c,ad274af1-2ec6-4a2b-a8a9-785ba04f974c,Marketplace,1 French Fries missing,-4.07,NULL
2024-08-30 18:34:05.768603,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,d550d8f9-fb37-3001-ae9d-11a92ef582c0,10870518520,2EF582C0,d663e54f-04c5-42f0-a0af-65c9fa96a15d,d663e54f-04c5-42f0-a0af-65c9fa96a15d,Marketplace,1 M&M® McFlurry® missing,-4.99,NULL
2024-08-30 13:49:33.068115,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,162d4127-d0a9-3001-8459-668526116645,10867829359,26116645,a599da5d-0d54-4bdf-acfd-2e219c179c9e,a599da5d-0d54-4bdf-acfd-2e219c179c9e,Marketplace,1 Double Cheeseburger missing,-3.87,NULL
2024-08-30 06:42:54.886828,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Adjustment,d0352a5a-e58e-3001-8cb9-c6a3d768b029,10865630200,D768B029,863b11f7-2bfe-4636-9584-656188d68097,863b11f7-2bfe-4636-9584-656188d68097,Marketplace,NULL,0.00,NULL
2024-08-29 21:47:31.327666,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,d0352a5a-e58e-3001-8cb9-c6a3d768b029,10863590175,D768B029,863b11f7-2bfe-4636-9584-656188d68097,863b11f7-2bfe-4636-9584-656188d68097,Marketplace,"1 McChicken® food quality
1 McChicken® food quality
1 Hot 'N Spicy McChicken® Meal food quality",-12.42,NULL
2024-08-29 18:27:15.552207,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Error Charge,4dab6846-5ad0-3001-a38f-d2d9d640c1cb,10861120138,D640C1CB,32f1bc61-8e4b-44cd-8ed3-dc290a9c6560,32f1bc61-8e4b-44cd-8ed3-dc290a9c6560,Marketplace,1 Hamburger Happy Meal® missing,-6.68,NULL
2024-08-29 18:01:59.030511,2024-09-02,5579,McDonald's,657157,McDonald's (1447-LINDNWLD-W HORSE),1447,Adjustment,NULL,10860847937,NULL,NULL,NULL,NULL,C&R rebate,0.00,NULL
