Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2024-05-25,false,5fd4397a-40cb-4d68-9708-f56a25743923,mcd-freenuggets15-052424-052724-allcx,Custom campaign,2024-05-24,2024-05-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,19,620.55,136.61,0.00,0.00,0.00,0.00,0.00,32.66,4.54,0,18,19,0,6,7
2024-05-26,false,5fd4397a-40cb-4d68-9708-f56a25743923,mcd-freenuggets15-052424-052724-allcx,Custom campaign,2024-05-24,2024-05-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,16,451.71,115.04,0.00,0.00,0.00,0.00,0.00,28.23,3.93,0,16,16,0,9,9
2024-05-27,false,5fd4397a-40cb-4d68-9708-f56a25743923,mcd-freenuggets15-052424-052724-allcx,Custom campaign,2024-05-24,2024-05-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,13,314.87,93.47,0.00,0.00,0.00,0.00,0.00,24.22,3.37,1,12,13,0,12,12
2024-05-28,false,5fd4397a-40cb-4d68-9708-f56a25743923,mcd-freenuggets15-052424-052724-allcx,Custom campaign,2024-05-24,2024-05-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,10,261.39,71.90,0.00,0.00,0.00,0.00,0.00,26.14,3.64,0,10,10,0,5,5
2024-05-30,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,33.66,7.79,0.00,0.00,0.00,0.00,0.00,33.66,4.32,0,0,1,0,0,1
2024-05-31,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,23.96,7.19,0.00,0.00,0.00,0.00,0.00,23.96,3.33,0,0,1,0,0,1
2024-05-31,false,011e972a-c0b4-4b5a-b0dd-d3040a6cd5a2,mcd-free10pcnuggs-053124-060224-allcx,Custom campaign,2024-05-31,2024-06-03,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,10,261.92,71.90,0.00,0.00,0.00,0.00,0.00,26.19,3.64,0,10,10,0,6,6
2024-06-01,false,011e972a-c0b4-4b5a-b0dd-d3040a6cd5a2,mcd-free10pcnuggs-053124-060224-allcx,Custom campaign,2024-05-31,2024-06-03,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,22,606.50,158.18,0.00,0.00,0.00,0.00,0.00,27.57,3.83,0,22,22,0,15,15
2024-06-02,false,011e972a-c0b4-4b5a-b0dd-d3040a6cd5a2,mcd-free10pcnuggs-053124-060224-allcx,Custom campaign,2024-05-31,2024-06-03,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,30,817.85,215.70,0.00,0.00,0.00,0.00,0.00,27.26,3.79,0,30,30,0,17,17
2024-06-03,false,011e972a-c0b4-4b5a-b0dd-d3040a6cd5a2,mcd-free10pcnuggs-053124-060224-allcx,Custom campaign,2024-05-31,2024-06-03,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,5,121.25,35.95,0.00,0.00,0.00,0.00,0.00,24.25,3.37,0,5,5,0,5,5
2024-06-04,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,30.17,7.19,0.00,0.00,0.00,0.00,0.00,30.17,4.20,0,0,1,0,0,0
2024-06-05,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,44.04,14.38,0.00,0.00,0.00,0.00,0.00,22.02,3.06,0,0,2,0,0,2
2024-06-06,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,15.23,7.19,0.00,0.00,0.00,0.00,0.00,15.23,2.12,0,0,1,0,0,0
2024-06-08,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,45.84,14.98,0.00,0.00,0.00,0.00,0.00,22.92,3.06,0,0,2,0,0,2
2024-06-09,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,133.02,29.96,0.00,0.00,0.00,0.00,0.00,33.26,4.44,0,0,4,0,0,3
2024-06-11,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,22.65,7.19,0.00,0.00,0.00,0.00,0.00,22.65,3.15,0,0,1,0,0,1
2024-06-12,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,33.25,7.79,0.00,0.00,0.00,0.00,0.00,33.25,4.27,0,0,1,0,0,0
2024-06-13,false,4d9e32fc-079b-4cd9-9cbc-0367b2b5052e,mcd-freenuggets15-061324-061724-allcx,Custom campaign,2024-06-13,2024-06-18,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,22,589.80,158.18,0.00,0.00,0.00,0.00,0.00,26.81,3.73,0,21,22,0,12,13
2024-06-13,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,25.15,7.79,0.00,0.00,0.00,0.00,0.00,25.15,3.23,0,0,1,0,0,1
2024-06-14,false,4d9e32fc-079b-4cd9-9cbc-0367b2b5052e,mcd-freenuggets15-061324-061724-allcx,Custom campaign,2024-06-13,2024-06-18,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,21,601.27,150.99,0.00,0.00,0.00,0.00,0.00,28.63,3.98,0,19,19,0,12,12
2024-06-15,false,4d9e32fc-079b-4cd9-9cbc-0367b2b5052e,mcd-freenuggets15-061324-061724-allcx,Custom campaign,2024-06-13,2024-06-18,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,19,571.70,136.61,0.00,0.00,0.00,0.00,0.00,30.09,4.18,0,17,17,0,15,15
2024-06-16,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,28.06,7.79,0.00,0.00,0.00,0.00,0.00,28.06,3.60,0,0,1,0,0,0
2024-06-16,false,4d9e32fc-079b-4cd9-9cbc-0367b2b5052e,mcd-freenuggets15-061324-061724-allcx,Custom campaign,2024-06-13,2024-06-18,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,20,565.62,143.80,0.00,0.00,0.00,0.00,0.00,28.28,3.93,0,20,20,0,16,16
2024-06-17,false,4d9e32fc-079b-4cd9-9cbc-0367b2b5052e,mcd-freenuggets15-061324-061724-allcx,Custom campaign,2024-06-13,2024-06-18,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,14,366.31,100.66,0.00,0.00,0.00,0.00,0.00,26.17,3.64,0,14,14,0,10,10
2024-06-18,false,4d9e32fc-079b-4cd9-9cbc-0367b2b5052e,mcd-freenuggets15-061324-061724-allcx,Custom campaign,2024-06-13,2024-06-18,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,3,70.86,21.57,0.00,0.00,0.00,0.00,0.00,23.62,3.29,1,2,3,0,1,1
2024-06-20,false,232fac18-0bec-44d9-913d-814cd0333c80,mcd-free10pc15-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,13,323.83,95.27,0.00,0.00,0.00,0.00,0.00,24.91,3.40,0,13,13,0,13,13
2024-06-20,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,3,88.60,21.57,0.00,0.00,0.00,0.00,0.00,29.53,4.11,0,0,3,0,0,2
2024-06-20,false,d86875ec-2b00-48da-9465-9263d5c211f2,mcd-eggmcmuffin15bfast-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,31.80,8.02,0.00,0.00,0.00,0.00,0.00,15.90,3.97,0,2,2,0,2,2
2024-06-20,false,e4e1893a-a032-4e01-86ca-9e0f2ba1f215,mcd-hashbrown15bfast-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,65.79,6.98,0.00,0.00,0.00,0.00,0.00,32.90,9.43,0,2,2,0,0,0
2024-06-20,false,356ecf8a-4c39-4b87-9ea7-e84417dc1fcd,mcd-free6pc15-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,4,120.08,23.96,0.00,0.00,0.00,0.00,0.00,30.02,5.01,0,4,4,0,0,0
2024-06-21,false,356ecf8a-4c39-4b87-9ea7-e84417dc1fcd,mcd-free6pc15-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,8,223.13,47.92,0.00,0.00,0.00,0.00,0.00,27.89,4.66,0,8,8,0,0,0
2024-06-21,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,50.12,7.79,0.00,0.00,0.00,0.00,0.00,50.12,6.43,0,0,1,0,0,0
2024-06-21,false,d86875ec-2b00-48da-9465-9263d5c211f2,mcd-eggmcmuffin15bfast-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,47.18,10.06,0.00,0.00,0.00,0.00,0.00,23.59,4.69,0,2,2,0,2,2
2024-06-21,false,e4e1893a-a032-4e01-86ca-9e0f2ba1f215,mcd-hashbrown15bfast-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,23.66,3.49,0.00,0.00,0.00,0.00,0.00,23.66,6.78,0,1,1,0,0,0
2024-06-21,false,232fac18-0bec-44d9-913d-814cd0333c80,mcd-free10pc15-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,15,372.96,110.25,0.00,0.00,0.00,0.00,0.00,24.86,3.38,0,15,15,0,15,15
2024-06-22,false,232fac18-0bec-44d9-913d-814cd0333c80,mcd-free10pc15-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,21,582.42,156.39,0.00,0.00,0.00,0.00,0.00,27.73,3.72,0,21,21,0,21,21
2024-06-22,false,d86875ec-2b00-48da-9465-9263d5c211f2,mcd-eggmcmuffin15bfast-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,66.03,10.06,0.00,0.00,0.00,0.00,0.00,33.02,6.56,0,2,2,0,2,2
2024-06-22,false,e4e1893a-a032-4e01-86ca-9e0f2ba1f215,mcd-hashbrown15bfast-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,30.54,6.98,0.00,0.00,0.00,0.00,0.00,15.27,4.38,1,1,2,0,0,0
2024-06-22,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,34.35,7.19,0.00,0.00,0.00,0.00,0.00,34.35,4.78,0,0,1,0,0,0
2024-06-22,false,356ecf8a-4c39-4b87-9ea7-e84417dc1fcd,mcd-free6pc15-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,5,117.13,29.95,0.00,0.00,0.00,0.00,0.00,23.43,3.91,0,5,5,0,0,0
2024-06-23,false,e4e1893a-a032-4e01-86ca-9e0f2ba1f215,mcd-hashbrown15bfast-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,3,92.76,10.47,0.00,0.00,0.00,0.00,0.00,30.92,8.86,0,3,3,0,0,0
2024-06-23,false,232fac18-0bec-44d9-913d-814cd0333c80,mcd-free10pc15-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,17,488.77,125.83,0.00,0.00,0.00,0.00,0.00,28.75,3.88,0,15,16,0,15,16
2024-06-23,false,d86875ec-2b00-48da-9465-9263d5c211f2,mcd-eggmcmuffin15bfast-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,51.68,10.06,0.00,0.00,0.00,0.00,0.00,25.84,5.14,0,2,2,0,2,2
2024-06-23,false,356ecf8a-4c39-4b87-9ea7-e84417dc1fcd,mcd-free6pc15-062024-062724-nondp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,2,51.74,11.98,0.00,0.00,0.00,0.00,0.00,25.87,4.32,0,2,2,0,0,0
2024-06-23,false,36db741c-40c5-439f-ae1e-328064e6cc4f,mcd-freeitems-021924-063024-custom,Custom campaign,2024-02-20,2024-07-01,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,27.40,7.19,0.00,0.00,0.00,0.00,0.00,27.40,3.81,0,0,1,0,0,1
2024-06-24,false,d86875ec-2b00-48da-9465-9263d5c211f2,mcd-eggmcmuffin15bfast-062024-062724-dp,Custom campaign,2024-06-20,2024-06-28,657157,McDonald's (1447-LINDNWLD-W HORSE),USD,1,26.49,5.03,0.00,0.00,0.00,0.00,0.00,26.49,5.27,0,1,1,0,1,1
